,base,clouds,cod,coord,dt,id,main,message,name,rain,sys,visibility,weather,wind
150,stations,{'all': 40},200,"{'lon': 153.1, 'lat': -30.38}",1535207400.0,2150163.0,"{'temp': 55.4, 'pressure': 1019, 'humidity': 82, 'temp_min': 55.4, 'temp_max': 55.4}",,Sawtell,,"{'type': 1, 'id': 8179, 'message': 0.0052, 'country': 'AU', 'sunrise': 1535141470, 'sunset': 1535182111}",10000.0,"[{'id': 802, 'main': 'Clouds', 'description': 'scattered clouds', 'icon': '03n'}]","{'speed': 5.82, 'deg': 340}"
151,stations,{'all': 0},200,"{'lon': -71.63, 'lat': -33.04}",1535205600.0,3868626.0,"{'temp': 57.6, 'pressure': 1019, 'humidity': 84, 'temp_min': 53.6, 'temp_max': 60.8}",,Valparaiso,,"{'type': 1, 'id': 4663, 'message': 0.0048, 'country': 'CL', 'sunrise': 1535195520, 'sunset': 1535235913}",10000.0,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01d'}]","{'speed': 9.17, 'deg': 170}"
152,stations,{'all': 40},200,"{'lon': -105.12, 'lat': 46.84}",1535205360.0,5681948.0,"{'temp': 55.94, 'pressure': 1015, 'humidity': 71, 'temp_min': 55.94, 'temp_max': 55.94}",,Fallon,,"{'type': 1, 'id': 1728, 'message': 0.0033, 'country': 'US', 'sunrise': 1535199117, 'sunset': 1535248309}",16093.0,"[{'id': 802, 'main': 'Clouds', 'description': 'scattered clouds', 'icon': '03d'}]","{'speed': 10.29, 'deg': 10}"
153,stations,{'all': 1},200,"{'lon': -91.16, 'lat': 30.65}",1535205180.0,4346788.0,"{'temp': 80.96, 'pressure': 1019, 'humidity': 79, 'temp_min': 80.96, 'temp_max': 80.96}",,Zachary,,"{'type': 1, 'id': 1165, 'message': 0.0036, 'country': 'US', 'sunrise': 1535197048, 'sunset': 1535243703}",4828.0,"[{'id': 721, 'main': 'Haze', 'description': 'haze', 'icon': '50d'}]","{'speed': 4.7, 'deg': 40}"
154,stations,{'all': 20},200,"{'lon': -63.6, 'lat': 50.23}",1535205600.0,5972291.0,"{'temp': 66.2, 'pressure': 1019, 'humidity': 77, 'temp_min': 66.2, 'temp_max': 66.2}",,Havre-Saint-Pierre,,"{'type': 1, 'id': 3785, 'message': 0.0082, 'country': 'CA', 'sunrise': 1535188767, 'sunset': 1535238724}",14484.0,"[{'id': 801, 'main': 'Clouds', 'description': 'few clouds', 'icon': '02d'}]","{'speed': 8.05, 'deg': 210}"
155,stations,{'all': 40},200,"{'lon': 109.34, 'lat': -0.02}",1535207400.0,1630789.0,"{'temp': 77, 'pressure': 1010, 'humidity': 94, 'temp_min': 77, 'temp_max': 77}",,Pontianak,,"{'type': 1, 'id': 8063, 'message': 0.0042, 'country': 'ID', 'sunrise': 1535150481, 'sunset': 1535194077}",2000.0,"[{'id': 711, 'main': 'Smoke', 'description': 'smoke', 'icon': '50n'}]","{'speed': 3.94, 'deg': 132.504}"
156,stations,{'all': 0},200,"{'lon': 44.15, 'lat': 34.02}",1535208645.0,98112.0,"{'temp': 106.28, 'pressure': 1003.5, 'humidity': 16, 'temp_min': 106.28, 'temp_max': 106.28, 'sea_level': 1011.14, 'grnd_level': 1003.5}",,Balad,,"{'message': 0.01, 'country': 'IQ', 'sunrise': 1535164338, 'sunset': 1535211474}",,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01d'}]","{'speed': 9.42, 'deg': 306.504}"
157,stations,{'all': 12},200,"{'lon': 115.51, 'lat': -2.54}",1535208647.0,1641899.0,"{'temp': 73.88, 'pressure': 998.88, 'humidity': 95, 'temp_min': 73.88, 'temp_max': 73.88, 'sea_level': 1024.6, 'grnd_level': 998.88}",,Labuhan,,"{'message': 0.0032, 'country': 'ID', 'sunrise': 1535149114, 'sunset': 1535192485}",,"[{'id': 801, 'main': 'Clouds', 'description': 'few clouds', 'icon': '02n'}]","{'speed': 2.48, 'deg': 126.004}"
158,stations,{'all': 0},200,"{'lon': 31.33, 'lat': -14.25}",1535208647.0,899825.0,"{'temp': 84.68, 'pressure': 926.57, 'humidity': 24, 'temp_min': 84.68, 'temp_max': 84.68, 'sea_level': 1025.49, 'grnd_level': 926.57}",,Petauke,,"{'message': 0.0033, 'country': 'ZM', 'sunrise': 1535169844, 'sunset': 1535212162}",,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01d'}]","{'speed': 10.09, 'deg': 103.504}"
159,stations,{'all': 20},200,"{'lon': 16.38, 'lat': 39.49}",1535205000.0,2525772.0,"{'temp': 78.8, 'pressure': 1010, 'humidity': 100, 'temp_min': 78.8, 'temp_max': 78.8}",,Acri,,"{'type': 1, 'id': 5758, 'message': 0.004, 'country': 'IT', 'sunrise': 1535170600, 'sunset': 1535218531}",10000.0,"[{'id': 801, 'main': 'Clouds', 'description': 'few clouds', 'icon': '02d'}]","{'speed': 11.41, 'deg': 250}"
